sum of dlev:  2777.4700000000003
 mon    M-E6C6    M-E6C0   eM-E6C6   eM-E6C0    I-E6C6    I-E6C0   eI-E6C6   eI-E6C0
   1      53.3      71.1      71.6      71.6      -6.5      -1.7       0.0       0.0
   2      54.3      73.1      71.6      71.6      -6.5      -1.1       0.0       0.0
   3      63.1      76.1      71.6      71.6       4.8       7.0       0.0       0.0
   4      80.3      90.9      71.6      71.6      18.0      23.5       0.0       0.0
   5      90.9      97.1      71.6      71.6      26.1      28.4       0.0       0.0
   6      92.3      96.7      71.6      71.6      30.3      30.4       0.0       0.0
   7      86.7      90.7      71.6      71.6      29.3      30.0       0.0       0.0
   8      84.8      91.6      71.6      71.6      24.1      27.7       0.0       0.0
   9      76.8      83.7      71.6      71.6      15.4      17.6       0.0       0.0
  10      60.5      73.7      71.6      71.6       1.8       3.8       0.0       0.0
  11      53.0      74.0      71.6      71.6      -8.9      -2.8       0.0       0.0
  12      52.9      72.1      71.6      71.6     -10.7      -4.3       0.0       0.0
